segment_id,drifter_id,start_time_utc,end_time_utc,month_key,recipe,validity_flag,status_flag,hard_fail,hard_fail_reason,invalidity_reason,ncs_score,actual_current_reader,actual_wind_reader,actual_wave_reader,wave_loading_status,current_fallback_used,wind_fallback_used,wave_fallback_used,recipe_family,is_gfs_recipe
300234063250850_20170302T000000Z_20170305T000000Z,300234063250850,2017-03-02T00:00:00+00:00,2017-03-05T00:00:00+00:00,201703,hycom_gfs,valid,valid,False,,,1.713391548994877,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063250850_20170305T060000Z_20170308T060000Z,300234063250850,2017-03-05T06:00:00+00:00,2017-03-08T06:00:00+00:00,201703,cmems_era5,valid,valid,False,,,1.670857340832405,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063250850_20170305T060000Z_20170308T060000Z,300234063250850,2017-03-05T06:00:00+00:00,2017-03-08T06:00:00+00:00,201703,cmems_gfs,valid,valid,False,,,1.7222050327433354,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063250850_20170305T060000Z_20170308T060000Z,300234063250850,2017-03-05T06:00:00+00:00,2017-03-08T06:00:00+00:00,201703,hycom_era5,valid,valid,False,,,1.190757095484162,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063250850_20170305T060000Z_20170308T060000Z,300234063250850,2017-03-05T06:00:00+00:00,2017-03-08T06:00:00+00:00,201703,hycom_gfs,valid,valid,False,,,1.1609308638525682,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063250850_20170308T120000Z_20170311T120000Z,300234063250850,2017-03-08T12:00:00+00:00,2017-03-11T12:00:00+00:00,201703,cmems_era5,valid,valid,False,,,5.457352699370766,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063250850_20170308T120000Z_20170311T120000Z,300234063250850,2017-03-08T12:00:00+00:00,2017-03-11T12:00:00+00:00,201703,cmems_gfs,valid,valid,False,,,5.39655577133331,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063250850_20170308T120000Z_20170311T120000Z,300234063250850,2017-03-08T12:00:00+00:00,2017-03-11T12:00:00+00:00,201703,hycom_era5,valid,valid,False,,,7.345794151497863,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063250850_20170308T120000Z_20170311T120000Z,300234063250850,2017-03-08T12:00:00+00:00,2017-03-11T12:00:00+00:00,201703,hycom_gfs,valid,valid,False,,,7.287167952539143,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063250950_20170202T120000Z_20170205T120000Z,300234063250950,2017-02-02T12:00:00+00:00,2017-02-05T12:00:00+00:00,201702,cmems_era5,valid,valid,False,,,5.1891080150751145,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
