segment_id,segment_status,rejection_reason,drifter_id,start_time_utc,end_time_utc,month_key,expected_observation_count,actual_observation_count,coverage_complete,coverage_gap_detected,start_point_in_validation_box,window_points_within_validation_box,regional_box_status,non_overlap_status,drogue_status_complete,drogue_attached_through_window,drogue_lost_date_start_row,deploy_date_start_row,start_lat,start_lon,end_lat,end_lon,ve_start,vn_start,err_lat_start,err_lon_start,DrogueType,DrogueLength,DrogueDetectSensor
300234063894920_20161212T060000Z_20161215T060000Z,accepted,,300234063894920,2016-12-12T06:00:00+00:00,2016-12-15T06:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2016-12-26T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.049,124.143,14.654,124.371,0.13554,-0.04747,,,HOLY230,6.6 m,tether strain
300234063894920_20161215T120000Z_20161218T120000Z,accepted,,300234063894920,2016-12-15T12:00:00+00:00,2016-12-18T12:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2016-12-26T00:00:00+00:00,2016-10-22T00:00:00+00:00,14.626,124.361,14.461,124.179,-0.037,-0.14245,,,HOLY230,6.6 m,tether strain
300234063894920_20161218T180000Z_20161221T180000Z,accepted,,300234063894920,2016-12-18T18:00:00+00:00,2016-12-21T18:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2016-12-26T00:00:00+00:00,2016-10-22T00:00:00+00:00,14.451,124.18,14.249,124.219,-0.00467,-0.10705,,,HOLY230,6.6 m,tether strain
300234063894920_20161222T000000Z_20161225T000000Z,accepted,,300234063894920,2016-12-22T00:00:00+00:00,2016-12-25T00:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2016-12-26T00:00:00+00:00,2016-10-22T00:00:00+00:00,14.241,124.22,13.807,124.468,0.08912,-0.11435,,,HOLY230,6.6 m,tether strain
300234063895680_20170105T060000Z_20170108T060000Z,accepted,,300234063895680,2017-01-05T06:00:00+00:00,2017-01-08T06:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-01-09T00:00:00+00:00,2016-10-23T00:00:00+00:00,13.409,124.5,13.035,124.331,-0.11863,-0.23139,,,HOLY230,6.6 m,tether strain
300234063895740_20161227T000000Z_20161230T000000Z,accepted,,300234063895740,2016-12-27T00:00:00+00:00,2016-12-30T00:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2017-01-28T00:00:00+00:00,2016-10-23T00:00:00+00:00,15.64,124.488,15.302,124.008,-0.3516,-0.07071,,,HOLY230,6.6 m,tether strain
300234063895740_20161230T060000Z_20170102T060000Z,accepted,,300234063895740,2016-12-30T06:00:00+00:00,2017-01-02T06:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2017-01-28T00:00:00+00:00,2016-10-23T00:00:00+00:00,15.299,123.974,15.218,123.708,-0.16378,-0.08036,,,HOLY230,6.6 m,tether strain
300234063895740_20170102T120000Z_20170105T120000Z,accepted,,300234063895740,2017-01-02T12:00:00+00:00,2017-01-05T12:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-01-28T00:00:00+00:00,2016-10-23T00:00:00+00:00,15.209,123.668,15.471,123.42,-0.19721,0.0325,,,HOLY230,6.6 m,tether strain
300234063895740_20170105T180000Z_20170108T180000Z,accepted,,300234063895740,2017-01-05T18:00:00+00:00,2017-01-08T18:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-01-28T00:00:00+00:00,2016-10-23T00:00:00+00:00,15.499,123.412,15.628,123.377,0.01859,0.04003,,,HOLY230,6.6 m,tether strain
300234063895740_20170109T000000Z_20170112T000000Z,accepted,,300234063895740,2017-01-09T00:00:00+00:00,2017-01-12T00:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-01-28T00:00:00+00:00,2016-10-23T00:00:00+00:00,15.659,123.393,15.978,122.941,0.01115,0.07309,,,HOLY230,6.6 m,tether strain
