loading_audit_schema_version,loading_audit_policy,case_name,recipe,description,intended_current_source,intended_wind_source,intended_wave_source,actual_current_reader,actual_wind_reader,actual_wave_reader,current_fallback_used,wind_fallback_used,wave_fallback_used,wave_forcing_present,wave_loading_status,validity_flag,status_flag,hard_fail,hard_fail_reason,invalidity_reason,output_path,map_file,ncs_score,segment_id,drifter_id,start_time_utc,end_time_utc,month_key
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063250850_20170302T000000Z_20170305T000000Z,cmems_gfs,CMEMS currents + GFS winds,CMEMS,GFS,CMEMS,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,2.263074675884757,300234063250850_20170302T000000Z_20170305T000000Z,300234063250850,2017-03-02T00:00:00+00:00,2017-03-05T00:00:00+00:00,201703
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063250850_20170302T000000Z_20170305T000000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,1.609364987099063,300234063250850_20170302T000000Z_20170305T000000Z,300234063250850,2017-03-02T00:00:00+00:00,2017-03-05T00:00:00+00:00,201703
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063250850_20170302T000000Z_20170305T000000Z,hycom_gfs,HYCOM currents + GFS winds,HYCOM,GFS,CMEMS,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,1.713391548994877,300234063250850_20170302T000000Z_20170305T000000Z,300234063250850,2017-03-02T00:00:00+00:00,2017-03-05T00:00:00+00:00,201703
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063250850_20170305T060000Z_20170308T060000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,1.670857340832405,300234063250850_20170305T060000Z_20170308T060000Z,300234063250850,2017-03-05T06:00:00+00:00,2017-03-08T06:00:00+00:00,201703
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063250850_20170305T060000Z_20170308T060000Z,cmems_gfs,CMEMS currents + GFS winds,CMEMS,GFS,CMEMS,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,1.7222050327433354,300234063250850_20170305T060000Z_20170308T060000Z,300234063250850,2017-03-05T06:00:00+00:00,2017-03-08T06:00:00+00:00,201703
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063250850_20170305T060000Z_20170308T060000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,1.190757095484162,300234063250850_20170305T060000Z_20170308T060000Z,300234063250850,2017-03-05T06:00:00+00:00,2017-03-08T06:00:00+00:00,201703
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063250850_20170305T060000Z_20170308T060000Z,hycom_gfs,HYCOM currents + GFS winds,HYCOM,GFS,CMEMS,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,1.1609308638525682,300234063250850_20170305T060000Z_20170308T060000Z,300234063250850,2017-03-05T06:00:00+00:00,2017-03-08T06:00:00+00:00,201703
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063250850_20170308T120000Z_20170311T120000Z,cmems_era5,CMEMS currents + ERA5 winds,CMEMS,ERA5,CMEMS,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,5.457352699370766,300234063250850_20170308T120000Z_20170311T120000Z,300234063250850,2017-03-08T12:00:00+00:00,2017-03-11T12:00:00+00:00,201703
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063250850_20170308T120000Z_20170311T120000Z,cmems_gfs,CMEMS currents + GFS winds,CMEMS,GFS,CMEMS,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,5.39655577133331,300234063250850_20170308T120000Z_20170311T120000Z,300234063250850,2017-03-08T12:00:00+00:00,2017-03-11T12:00:00+00:00,201703
phase1_loading_audit_v2,invalidate_recipe_on_required_forcing_or_simulation_failure_and_raise_if_no_valid_recipes_remain,300234063250850_20170308T120000Z_20170311T120000Z,hycom_era5,HYCOM currents + ERA5 winds,HYCOM,ERA5,CMEMS,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,False,False,False,True,loaded,valid,valid,False,,,,,7.345794151497863,300234063250850_20170308T120000Z_20170311T120000Z,300234063250850,2017-03-08T12:00:00+00:00,2017-03-11T12:00:00+00:00,201703
